Français;Allemand;Leçon;Catégorie;Régularité
morceau;das Stück;13;Noun;
ne… pas;nicht;13;Adjective/Adverb;
œuf;das Ei;13;Noun;
œuf à la coque;das Frühstücksei;13;Noun;
oublier;vergessen;13;Verb;irregular
pain;das Brot;13;Noun;
petit pain;das Brötchen;13;Noun;
petit-déjeuner;das Frühstück;13;Noun;
petit-déjeuner (au ~);zum Frühstück;13;Fixed expression;
thé;der Tee;13;Noun;
voir;sehen;13;Verb;irregular
apporter;bringen;15;Verb;irregular
assiette;der Teller;15;Noun;
cassé;kaputt;15;Adjective/Adverb;
casser;kaputt machen;15;Fixed expression;
clé;der Schlüssel;15;Noun;
clé de la maison;der Hausschlüssel;15;Noun;
débris;die Scherben;15;Noun;
désordre;die Unordnung;15;Noun;
fumier;der Mist;15;Noun;
heureux;glücklich;15;Adjective/Adverb;
juste (être ~);stimmen;15;Verb;regular
laisser;lassen;15;Verb;irregular
malchance;das Unglück;15;Noun;
malheureux;unglücklich;15;Adjective/Adverb;
miracle;das Wunder;15;Noun;
nous (p. pers. acc.);uns;15;Personal pronoun;
ordre;die Ordnung;15;Noun;
papiers;die Papiere;15;Noun;
papiers (voiture);die Autopapiere;15;Noun;
pièce;das Zimmer;15;Noun;
ranger;auf/räumen;15;Verb;irregular
salon;das Wohnzimmer;15;Noun;
serrure;das Schloss;15;Noun;
table;der Tisch;15;Noun;
toi (équivalent tonique);du;15;Personal pronoun;
trouver;finden;15;Verb;irregular
vacarme;das Poltern;15;Noun;
vacarme (faire du);poltern;15;Verb;regular
verre;das Glas;15;Noun;
voiture;das Auto / der Wagen;15;Noun;
à;nach;16;Preposition;
bêtise;der Quatsch;16;Noun;
certain;sicher;16;Adjective/Adverb;
chemin;der Weg;16;Noun;
demander;fragen;16;Verb;regular
devoir;müssen;16;Verb;irregular
droit (tout ~);geradeaus;16;Adjective/Adverb;
droite;rechts;16;Adjective/Adverb;
gauche;links;16;Adjective/Adverb;
monsieur;der Herr;16;Noun;
pourquoi;"warum ; wieso";16;Interrogative;
quand même;doch;16;Modal particle;
sûr;sicher;16;Adjective/Adverb;
sûr;sicher;16;Adjective/Adverb;
appeler (téléphoner);anrufen;17;Verb;irregular
entendre;hören;17;Verb;regular
être (numéro, adresse);lauten;17;Verb;regular
la (p. pers. acc.);es;17;Personal pronoun;
la (p. pers. f. acc.);sie;17;Personal pronoun;
le (p. pers. acc.);es;17;Personal pronoun;
le (p. pers. m. acc.);ihn;17;Personal pronoun;
les (p. pers. pl. acc.);sie;17;Personal pronoun;
mal;schlecht;17;Adjective/Adverb;
malheureusement;leider;17;Adjective/Adverb;
me (p. pers. acc.);mich;17;Personal pronoun;
mieux;besser;17;Adjective/Adverb;
numéro;die Nummer;17;Noun;
numéro de portable;die Handynummer;17;Noun;
numéro de téléphone;die Telefonnummer;17;Noun;
parler;sprechen / reden;17;Verb;irregular
portable (téléphone);das Handy;17;Noun;
qui (p. int. acc.);wen;17;Interrogative;
téléphone;das Telefon;17;Noun;
téléphoner;anrufen;17;Verb;irregular
vouloir;mögen / wollen;17;Verb;irregular
vous (tutoiement pluriel – acc.);euch;17;Personal pronoun;
vous (politesse – acc.);Sie;17;Personal pronoun;
année;die Jahr;18;Noun;
autant (de);so viel;18;Adjective/Adverb;
autour;um (+ acc.);18;Preposition;
cerise;die Kirsche;18;Noun;
contre;gegen;18;Preposition;
donner;geben;18;Verb;irregular
droit (avoir le ~);dürfen;18;Verb;irregular
kilo;das Kilo;18;Noun;
(à) moi (p. pers. dat.);mir;18;Personal pronoun;
orange;die Orange;18;Noun;
par;durch / von;18;Preposition;
poire;die Birne;18;Noun;
pomme;der Apfel;18;Noun;
pour;für (+ acc.);18;Preposition;
résolution;der Vorsatz;18;Noun;
sain;gesund;18;Adjective/Adverb;
sainement;gesund;18;Adjective/Adverb;
travers (à);durch;18;Preposition;
zéro;null;18;Number/Numeral;
à;um;19;Preposition;
bonhomme;das Männchen;19;Noun;
bonhomme;das Männlein;19;Noun;
compter;zählen;19;Verb;regular
demain;morgen;19;Adjective/Adverb;
demi;halb;19;Adjective/Adverb;
demi (heure);halb;19;Adjective/Adverb;
demi-heure;die halbe Stunde;19;Noun;
demoiselle;das Fräulein;19;Noun;
donc;doch;19;Modal particle;
essayer;versuchen;19;Verb;regular
fille;das Mädchen;19;Noun;
heure (60 minutes);die Stunde;19;Noun;
heure(s);Uhr;19;Fixed expression;
heure (quelle ~);wie spät;19;Interrogative;
heure (quelle ~);wie viel Uhr;19;Interrogative;
homme (monsieur);der Mann;19;Noun;
il est (+ heure);es ist;19;Fixed expression;
mouton;das Schaf;19;Noun;
mouton (petit);das Schäfchen;19;Noun;
nuit;die Nacht;19;Noun;
soir;der Abend;19;Noun;
tard;spät;19;Adjective/Adverb;
à;zu + dem (= zum);20;Preposition;
ami;der Freund;20;Noun;
dans;in;20;Preposition;
de (+ inf. subst.);zu + dem (= zum);20;Preposition;
désolé (être);leid tun;20;Fixed expression;
dimanche;der Sonntag;20;Noun;
envie;die Lust;20;Noun;
faire;tun;20;Verb;irregular
inviter;einladen;20;Verb;irregular
jeudi;der Donnerstag;20;Noun;
lundi;der Montag;20;Noun;
mardi;der Dienstag;20;Noun;
mercredi;der Mittwoch;20;Noun;
ne… plus (de);keine… mehr;20;Modal particle;
parents;die Eltern;20;Noun;
pour (+ inf. subst.);zu + dem (= zum);20;Preposition;
prochain;nächste;20;Adjective/Adverb;
professeur;der Lehrer;20;Noun;
quand;"wann ; wenn ; als";20;Interrogative;
rencontrer;treffen;20;Verb;irregular
samedi;der Samstag;20;Noun;
semaine;die Woche;20;Noun;
toi (à);dir;20;Personal pronoun;
vendredi;der Freitag;20;Noun;
après (heure);nach;22;Preposition;
ascenseur;der Aufzug;22;Noun;
attendre;warten;22;Verb;regular
attendre qn;warten auf;22;Verb;regular
autre;andere;22;Adjective/Adverb;
besoin (avoir ~ de);brauchen;22;Verb;regular
devoir;sollen;22;Verb;irregular
ensuite;danach;22;Adjective/Adverb;
entrée;der Eingang;22;Noun;
environ;ungefähr;22;Adjective/Adverb;
moins (heure);vor;22;Preposition;
parfait;perfekt;22;Adjective/Adverb;
passer prendre;abholen;22;Verb;irregular
quart;das Viertel;22;Noun;
sortie;der Ausgang;22;Noun;
sortie;der Ausgang;22;Noun;
un et demi;anderthalb / eineinhalb;22;Number/Numeral;
anglais (langue);das Englisch;23;Noun;
auto;das Auto;23;Noun;
avant tout;bevor;23;Conjunction;
décharger;ausladen;23;Verb;irregular
drôle;witzig;23;Adjective/Adverb;
écrit (être);stehen;23;Verb;irregular
espagnol (langue);das Spanisch;23;Noun;
français (langue);das Französisch;23;Noun;
fumer;rauchen;23;Verb;regular
ici (rapprochement);hierher;23;Adjective/Adverb;
interdit;verboten;23;Adjective/Adverb;
jusque;bis;23;Preposition;
lire;lesen;23;Verb;irregular
nager;schwimmen;23;Verb;irregular
plein (voitures);vollgeparkt;23;Adjective/Adverb;
plein (adj. qual.);voll;23;Adjective/Adverb;
police;die Polizei;23;Noun;
porter;tragen;23;Verb;irregular
que (seulement);nur;23;Modal particle;
savoir (v.);"können ; wissen";23;Verb;irregular
seulement;nur;23;Modal particle;
valise;der Koffer;23;Noun;
vite;schnell / kurz;23;Adjective/Adverb;
anniversaire;der Geburtstag;24;Noun;
août;der August;24;Noun;
avril;der April;24;Noun;
certainement;bestimmt;24;Adjective/Adverb;
chaud;warm;24;Adjective/Adverb;
cher;teuer;24;Adjective/Adverb;
comme ça;so;24;Adjective/Adverb;
décembre;der Dezember;24;Noun;
devenir;werden;24;Verb;irregular
fait (au ~);eigentlich;24;Modal particle;
féliciter;gratulieren;24;Verb;regular
février;der Februar;24;Noun;
froid;kalt;24;Adjective/Adverb;
janvier;der Januar;24;Noun;
juillet;der Juli;24;Noun;
juin;der Juni;24;Noun;
le (date);am (date);24;Preposition;
longtemps;lange;24;Adjective/Adverb;
mai ; der Mai ;24;Noun;
mars;der März;24;Noun;
naissance;die Geburt;24;Noun;
novembre;der November;24;Noun;
octobre;der Oktober;24;Noun;
plus (ne ~);nicht mehr;24;Modal particle;
quelque chose;etwas;24;Modal particle;
quelque chose comme ça;so etwas;24;Modal particle;
septembre;der September;24;Noun;
venir avec qqn;mitkommen;24;Verb;irregular
absurdité;der Unsinn;25;Noun;
aide;die Hilfe;25;Noun;
allemand (adj.);deutsch;25;Adjective/Adverb;
autoroute;die Autobahn;25;Noun;
content (être ~);sich freuen;25;Verb;irregular
feu;das Feuer;25;Noun;
haut;hoch;25;Adjective/Adverb;
kilomètre;der Kilometer;25;Noun;
kilomètre par heure;Stundenkilometer;25;Noun;
le (art. déf. neutre dat.);dem;25;Article;
lentement;langsam;25;Adjective/Adverb;
main;die Hand;25;Noun;
panneau;das Schild;25;Noun;
payer;zahlen;25;Verb;regular
réjouir (se ~);sich freuen;25;Verb;irregular
tenir;halten;25;Verb;irregular
voie;die Bahn;25;Noun;
à;zu;26;Preposition;
aider;helfen;26;Verb;irregular
avion;der Flieger;26;Noun;
œil;das Auge;26;Noun;
passeport;der Pass / der Reisepass;26;Noun;
plus;mehr;26;Adjective/Adverb;
que (+ cp. sup.);als;26;Conjunction;
rater (vol, train, film…);verpassen;26;Verb;regular
soudain;plötzlich;26;Adjective/Adverb;
soudain;plötzlich;26;Adjective/Adverb;
tout de même;doch;26;Modal particle;
voyage;die Reise;26;Noun;
vrai;wahr;26;Adjective/Adverb;
bizarre;komisch;27;Adjective/Adverb;
comme;wie;27;Conjunction;
comme c'est…;wie + adj. qual.;27;Fixed expression;
dernier;letzte;27;Adjective/Adverb;
dommage;schade;27;Modal particle;
eau;das Wasser;27;Noun;
fin (n.);das Ende;27;Noun;
fini (être);zu Ende sein;27;Fixed expression;
magnifique ; herrlich ;27;Adjective/Adverb;
moment;der Moment / die Zeit;27;Noun;
penser à;denken an;27;Verb;irregular
que (conj. sub.);dass;27;Conjunction;
que c'est… (excl.);wie + adj. qual.;27;Fixed expression;
rêve;der Traum;27;Noun;
savourer;genießen;27;Verb;irregular
si (tellement);so;27;Adjective/Adverb;
simple;einfach;27;Adjective/Adverb;
simplement;einfach;27;Adjective/Adverb;
tellement;so;27;Adjective/Adverb;
temps (durée);die Zeit;27;Noun;
âge;das Alter;29;Noun;
chercher;suchen;29;Verb;regular
fille (vs fils);die Tochter;29;Noun;
fils;der Sohn;29;Noun;
grossir;zunehmen;29;Verb;irregular
long;lang;29;Adjective/Adverb;
madame ; Frau ;29;Noun;
maigrir ; abnehmen ;29;Verb;irregular
marier (se);heiraten;29;Verb;regular
notre/nos;unser / unsere;29;Possessive adjective;
occasion;die Gelegenheit;29;Noun;
quel (adj. int.);welch-;29;Interrogative;
robe;das Kleid;29;Noun;
son;sein / ihr;29;Possessive adjective;
vous (politesse – dat.);Ihnen;29;Personal pronoun;
aimable;freundlich;30;Adjective/Adverb;
aise (à l');wohl;30;Adjective/Adverb;
après-demain;übermorgen;30;Adjective/Adverb;
avoir l'air;aussehen;30;Verb;irregular
bien;wohl;30;Adjective/Adverb;
chaleureux;herzlich;30;Adjective/Adverb;
colocation;die Wohngemeinschaft;30;Noun;
communauté;die Gemeinschaft;30;Noun;
cours (étude);der Unterricht;30;Noun;
dame;die Dame;30;Noun;
depuis;seit;30;Preposition;
hier;gestern;30;Adjective/Adverb;
honoré;geehrt;30;Adjective/Adverb;
premier;erste;30;Adjective/Adverb;
salutation;der Gruß;30;Noun;
sympa;nett;30;Adjective/Adverb;
sympathique;sympathisch;30;Adjective/Adverb;
sympa;nett;30;Adjective/Adverb;
sympathique;sympathisch;30;Adjective/Adverb;
sympa;nett;30;Adjective/Adverb;
sympathique;sympathisch;30;Adjective/Adverb;
violon;die Geige;30;Noun;
violon (cours de);der Geigenunterricht;30;Noun;
votre / vos;eu / re;30;Possessive adjective;
vous (tutoiement – dat.);euch;30;Personal pronoun;
cour;der Hof;31;Noun;
difficile;schwer;31;Adjective/Adverb;
employer;benutzen;31;Verb;regular
enfant;das Kind;31;Noun;
exemple;das Beispiel;31;Noun;
exemple (par ~);zum Beispiel;31;Fixed expression;
gare;der Bahnhof;31;Noun;
livre;das Buch;31;Noun;
mère;die Mutter;31;Noun;
père;der Vater;31;Noun;
personne (individu);die Person;31;Noun;
plusieurs;mehrere;31;Adjective/Adverb;
regarder;schauen;31;Verb;regular
seul;allein;31;Adjective/Adverb;
si (condition);wenn;31;Conjunction;
soit… soit…;entweder… oder…;31;Conjunction;
stylo;der Stift;31;Noun;
stylo;der Stift;31;Noun;
train;die Bahn / der Zug;31;Noun;
vouvoyer;siezen;31;Verb;regular
communiqué;der Bericht;32;Noun;
de;von;32;Preposition;
de… à…;von… bis;32;Preposition;
été;der Sommer;32;Noun;
exagérer;übertreiben;32;Verb;regular
fois;das Mal;32;Noun;
fort (adj.);stark;32;Adjective/Adverb;
humide (temps);nass;32;Adjective/Adverb;
jusqu'à;bis / bis zu;32;Preposition;
juste (au ~);eigentlich;32;Modal particle;
météo (bulletin ~);der Wetterbericht;32;Noun;
mouillé;nass;32;Adjective/Adverb;
part (de la ~);von;32;Preposition;
pluie;der Regen;32;Noun;
pluie (chute de ~);der Regenfall;32;Noun;
poisse;das Pech;32;Noun;
poisse (avoir la ~);Pech haben;32;Fixed expression;
temps (météo);das Wetter;32;Noun;
acheter;kaufen;33;Verb;regular
bière;das Bier;33;Noun;
championnat;die Meisterschaft;33;Noun;
championnat d'Europe;die Europameisterschaft;33;Noun;
championnat du monde;die Weltmeisterschaft;33;Noun;
commencer;beginnen;33;Verb;irregular
dépêcher (se ~);sich beeilen;33;Verb;irregular
durer;dauern;33;Verb;regular
Europe;Europa;33;Noun;
idée;die Idee;33;Noun;
maman;die Mama / die Mami;33;Noun;
minute;die Minute;33;Noun;
monde;die Welt;33;Noun;
papa;der Papa / der Papi;33;Noun;
peur;die Angst;33;Noun;
se (p. réciproque acc.);sich;33;Personal pronoun;
bronzé;braun;34;Adjective/Adverb;
bronzer;braun werden;34;Verb;irregular
changer (travail, argent);wechseln;34;Verb;regular
Corse;Korsika;34;Noun;
gagner;gewinnen;34;Verb;irregular
hôtel;das Hotel;34;Noun;
job;der Job;34;Noun;
loterie;die Lotterie;34;Noun;
marron;braun;34;Adjective/Adverb;
même;sogar;34;Modal particle;
plage;der Strand;34;Noun;
plage privée;der Privatstrand;34;Noun;
privé;privat;34;Adjective/Adverb;
réserver;"buchen ; reservieren";34;Verb;regular
salaire;das Gehalt;34;Noun;
soleil;die Sonne;34;Noun;
bikini;der Bikini;36;Noun;
chantilly;die Sahne;36;Noun;
chocolat;die Schokolade;36;Noun;
dessert;der Nachtisch;36;Noun;
encore (une fois);schon wieder;36;Modal particle;
gâteau;der Kuchen;36;Noun;
gâteau au chocolat;der Schokoladenkuchen;36;Noun;
gâteau aux fruits;der Obstkuchen;36;Noun;
langues (livre de ~);das Sprachbuch;36;Noun;
nouveau (de ~);wieder;36;Adjective/Adverb;
quel genre de;was für ein/e;36;Interrogative;
régime;die Diät;36;Noun;
tarte;die Torte;36;Noun;
volontiers;gern;36;Adjective/Adverb;
amoureux (tomber ~ de);sich verlieben in;37;Verb;irregular
au-dessus de;über;37;Preposition;
autour de;um (+ acc.);37;Preposition;
chez;zu (+ dat.);37;Preposition;
chez (loc.);bei (+ dat.);37;Preposition;
cours (au ~ de);auf;37;Preposition;
ensemble;zusammen;37;Adjective/Adverb;
esquimau;der Eskimo;37;Noun;
étranger (pays);das Ausland;37;Noun;
expliquer;erklären;37;Verb;regular
globe-trotteuse;die Globetrotterin;37;Noun;
né (être ~);geboren sein;37;Fixed expression;
nous (p. pers. dat.);uns;37;Personal pronoun;
nuage;die Wolke;37;Noun;
patrie;die Heimat;37;Noun;
pays;das Land;37;Noun;
recevoir;"bekommen ; erhalten";37;Verb;irregular
sur (localisation);an (+ dat./acc.);37;Preposition;
sur (sujet);über (+ acc.);37;Preposition;
sur (localisation);an (+ dat./acc.);37;Preposition;
sur (sujet);über (+ acc.);37;Preposition;
aller (bien);jm gut stehen;38;Fixed expression;
amie;die Freundin;38;Noun;
bleu;blau;38;Adjective/Adverb;
cool;cool;38;Adjective/Adverb;
court;kurz;38;Adjective/Adverb;
discuter;streiten;38;Verb;irregular
goût;der Geschmack;38;Noun;
jaune;gelb;38;Adjective/Adverb;
me (p. pers. dat.);mir;38;Personal pronoun;
mode (à la ~);modisch;38;Adjective/Adverb;
penser;meinen;38;Verb;regular
plaire;"gefallen ; Spaß machen";38;Verb;irregular
pull;der Pulli;38;Noun;
rouge (adj. qual.);rot;38;Adjective/Adverb;
vieux jeu;altmodisch;38;Adjective/Adverb;
achat;der Kauf;39;Noun;
blanc;das Weiß;39;Noun;
derrière;hinten;39;Adjective/Adverb;
devant;vorne;39;Adjective/Adverb;
enchères;die Auktion;39;Noun;
fois (deux ~) enchères;zum Zweiten;39;Fixed expression;
fois (une ~) enchères;zum Ersten;39;Fixed expression;
là-bas;dort;39;Adjective/Adverb;
libre;frei;39;Adjective/Adverb;
lit;das Bett;39;Noun;
noir;das Schwarz;39;Noun;
proposer;"bieten ; vor/schlagen";39;Verb;irregular
revenir;"zurück/kommen ; wieder/kommen";39;Verb;irregular
vendu;verkauft;39;Adjective/Adverb;
après (prép.);nach;40;Preposition;
bientôt;bald;40;Modal particle;
combien (le ~) date;der Wievielte;40;Noun;
école;die Schule;40;Noun;
encore;noch;40;Modal particle;
endroit;der Ort;40;Noun;
État fédéral;das Bundesland;40;Noun;
idée (n'avoir aucune ~);keine Ahnung haben;40;Fixed expression;
meilleur(e) (le/la ~);der, die, das beste;40;Adjective/Adverb;
passer (temps);vergehen;40;Verb;irregular
pressentiment;die Ahnung;40;Noun;
savoir (ne pas ~);keine Ahnung haben;40;Fixed expression;
suivre;folgen;40;Verb;regular
suivre;folgen;40;Verb;regular
bon (être ~);schmecken;41;Verb;regular
de (causal);vor;41;Preposition;
faim;der Hunger;41;Noun;
fermé (être);zuhaben;41;Verb;irregular
hamburger;der Burger;41;Noun;
indien;indisch;41;Adjective/Adverb;
italien;italienisch;41;Adjective/Adverb;
livraison;der Lieferservice;41;Noun;
livrer;liefern;41;Verb;regular
mois;der Monat;41;Noun;
mourir;sterben;41;Verb;irregular
mourir de faim;vor Hunger sterben;41;Fixed expression;
ouvert (être ~);aufhaben;41;Verb;irregular
pizza;die Pizza;41;Noun;
pratique;praktisch;41;Adjective/Adverb;
proposition;der Vorschlag;41;Noun;
reconnaître;zu/geben;41;Verb;irregular
restauration rapide;das Fast Food;41;Noun;
service;der Service;41;Noun;
soif;der Durst;41;Noun;
accueillir;empfangen;43;Verb;irregular
après-midi;der Nachmittag;43;Noun;
Berlinois;der Berliner;43;Noun;
Berlin-Ouest;Westberlin;43;Noun;
Berlin-Ouest (habitant);der Westberliner;43;Noun;
chute;der Fall;43;Noun;
chute du mur de Berlin;der Mauerfall;43;Noun;
croire;glauben;43;Verb;regular
embrasser;sich umarmen;43;Verb;irregular
époque (à l');damals;43;Adjective/Adverb;
fêter;feiern;43;Verb;regular
gens;die Menschen;43;Noun;
heureux (très);überglücklich;43;Adjective/Adverb;
honte;die Schande;43;Noun;
matinée;der Vormittag;43;Noun;
midi;der Mittag;43;Noun;
mousseux;der Sekt;43;Noun;
mur (extérieur);die Mauer;43;Noun;
ouest;der Westen;43;Noun;
parti;weg;43;Adjective/Adverb;
peuple;das Volk;43;Noun;
soirée;der Abend;43;Noun;
sud;der Süden;43;Noun;
sud;der Süden;43;Noun;
tombé (mur);weg;43;Adjective/Adverb;
tous les;alle;43;Adjective/Adverb;
avant;früher;44;Adjective/Adverb;
avis;die Meinung;44;Noun;
bon (plat);lecker;44;Adjective/Adverb;
changer;sich ändern;44;Verb;irregular
faire (pâtisserie);backen;44;Verb;irregular
faute (culpabilité);die Schuld;44;Noun;
feignant;faul;44;Adjective/Adverb;
jeune (personne);der Jugendliche;44;Noun;
jeunesse;die Jugend;44;Noun;
offrir;anbieten;44;Verb;irregular
ordinateur;der Computer;44;Noun;
petite-fille;die Enkelin;44;Noun;
qui (à ~) (p. int. dat.);wem;44;Interrogative;
tout;alles;44;Adjective/Adverb;
ce/cette/ces;dieser/diese/dieses;45;Adjective/Adverb;
changer;sich verändern;45;Verb;irregular
