Français;Allemand;Leçon
table;der Tisch;15
toi (équivalent tonique);du;15
trouver;finden;15
vacarme;das Poltern;15
vacarme (faire du);poltern;15
verre;das Glas;15
voiture;das Auto / der Wagen;15
à;nach;16
bêtise;der Quatsch;16
certain;sicher;16
chemin;der Weg;16
demander;fragen;16
devoir;müssen;16
droit (tout ~);geradeaus;16
droite;rechts;16
gauche;links;16
monsieur;der Herr;16
pourquoi;"warum ; wieso";16
quand même;doch;16
sûr;sicher;16
sûr;sicher;16
appeler (téléphoner);anrufen;17
entendre;hören;17
être (numéro, adresse);lauten;17
la (p. pers. acc.);es;17
la (p. pers. f. acc.);sie;17
le (p. pers. acc.);es;17
le (p. pers. m. acc.);ihn;17
les (p. pers. pl. acc.);sie;17
mal;schlecht;17
malheureusement;leider;17
me (p. pers. acc.);mich;17
mieux;besser;17
numéro;die Nummer;17
numéro de portable;die Handynummer;17
numéro de téléphone;die Telefonnummer;17
parler;sprechen / reden;17
portable (téléphone);das Handy;17
qui (p. int. acc.);wen;17
téléphone;das Telefon;17
téléphoner;anrufen;17
vouloir;mögen / wollen;17
vous (tutoiement pluriel – acc.);euch;17
vous (politesse – acc.);Sie;17
année;die Jahr;18
autant (de);so viel;18
autour;um (+ acc.);18
cerise;die Kirsche;18
contre;gegen;18
donner;geben;18
droit (avoir le ~);dürfen;18
kilo;das Kilo;18
(à) moi (p. pers. dat.);mir;18
orange;die Orange;18
par;durch / von;18
poire;die Birne;18
pomme;der Apfel;18
pour;für (+ acc.);18
résolution;der Vorsatz;18
sain;gesund;18
sainement;gesund;18
travers (à);durch;18
zéro;null;18
à;um;19
bonhomme;das Männchen;19
bonhomme;das Männlein;19
compter;zählen;19
demain;morgen;19
demi;halb;19
demi (heure);halb;19
demi-heure;die halbe Stunde;19
demoiselle;das Fräulein;19
donc;doch;19
essayer;versuchen;19
fille;das Mädchen;19
heure (60 minutes);die Stunde;19
heure(s);Uhr;19
heure (quelle ~);wie spät;19
heure (quelle ~);wie viel Uhr;19
homme (monsieur);der Mann;19
il est (+ heure);es ist;19
mouton;das Schaf;19
mouton (petit);das Schäfchen;19
nuit;die Nacht;19
soir;der Abend;19
tard;spät;19
à;zu + dem (= zum);20
ami;der Freund;20
dans;in;20
de (+ inf. subst.);zu + dem (= zum);20
désolé (être);leid tun;20
dimanche;der Sonntag;20
envie;die Lust;20
faire;tun;20
inviter;einladen;20
jeudi;der Donnerstag;20
lundi;der Montag;20
mardi;der Dienstag;20
mercredi;der Mittwoch;20
ne… plus (de);keine… mehr;20
parents;die Eltern;20
pour (+ inf. subst.);zu + dem (= zum);20
prochain;nächste;20
professeur;der Lehrer;20
quand;"wann ; wenn ; als";20
rencontrer;treffen;20
samedi;der Samstag;20
semaine;die Woche;20
toi (à);dir;20
vendredi;der Freitag;20
après (heure);nach;22
ascenseur;der Aufzug;22
attendre;warten;22
attendre qn;warten auf;22
autre;andere;22
besoin (avoir ~ de);brauchen;22
devoir;sollen;22
ensuite;danach;22
entrée;der Eingang;22
environ;ungefähr;22
moins (heure);vor;22
parfait;perfekt;22
passer prendre;abholen;22
quart;das Viertel;22
sortie;der Ausgang;22
sortie;der Ausgang;22
un et demi;anderthalb / eineinhalb;22
anglais (langue);das Englisch;23
auto;das Auto;23
avant tout;bevor;23
décharger;ausladen;23
drôle;witzig;23
écrit (être);stehen;23
espagnol (langue);das Spanisch;23
français (langue);das Französisch;23
fumer;rauchen;23
ici (rapprochement);hierher;23
interdit;verboten;23
jusque;bis;23
lire;lesen;23
nager;schwimmen;23
plein (voitures);vollgeparkt;23
plein (adj. qual.);voll;23
police;die Polizei;23
porter;tragen;23
que (seulement);nur;23
savoir (v.);"können ; wissen";23
seulement;nur;23
valise;der Koffer;23
vite;schnell / kurz;23
anniversaire;der Geburtstag;24
août;der August;24
avril;der April;24
certainement;bestimmt;24
chaud;warm;24
cher;teuer;24
comme ça;so;24
décembre;der Dezember;24
devenir;werden;24
fait (au ~);eigentlich;24
féliciter;gratulieren;24
février;der Februar;24
froid;kalt;24
janvier;der Januar;24
juillet;der Juli;24
juin;der Juni;24
le (date);am (date);24
longtemps;lange;24
mai ; der Mai ;24
mars;der März;24
naissance;die Geburt;24
novembre;der November;24
octobre;der Oktober;24
plus (ne ~);nicht mehr;24
quelque chose;etwas;24
quelque chose comme ça;so etwas;24
septembre;der September;24
venir avec qqn;mitkommen;24
absurdité;der Unsinn;25
aide;die Hilfe;25
allemand (adj.);deutsch;25
autoroute;die Autobahn;25
content (être ~);sich freuen;25
feu;das Feuer;25
haut;hoch;25
kilomètre;der Kilometer;25
kilomètre par heure;Stundenkilometer;25
le (art. déf. neutre dat.);dem;25
lentement;langsam;25
main;die Hand;25
panneau;das Schild;25
payer;zahlen;25
réjouir (se ~);sich freuen;25
tenir;halten;25
voie;die Bahn;25
à;zu;26
aider;helfen;26
avion;der Flieger;26
œil;das Auge;26
passeport;der Pass / der Reisepass;26
plus;mehr;26
que (+ cp. sup.);als;26
rater (vol, train, film…);verpassen;26
soudain;plötzlich;26
soudain;plötzlich;26
tout de même;doch;26
voyage;die Reise;26
vrai;wahr;26
bizarre;komisch;27
comme;wie;27
comme c’est…;wie + adj. qual.;27
dernier;letzte;27
dommage;schade;27
eau;das Wasser;27
fin (n.);das Ende;27
fini (être);zu Ende sein;27
magnifique ; herrlich ;27
moment;der Moment / die Zeit;27
penser à;denken an;27
que (conj. sub.);dass;27
que c’est… (excl.);wie + adj. qual.;27
rêve;der Traum;27
savourer;genießen;27
si (tellement);so;27
simple;einfach;27
simplement;einfach;27
tellement;so;27
temps (durée);die Zeit;27
âge;das Alter;29
chercher;suchen;29
fille (vs fils);die Tochter;29
fils;der Sohn;29
grossir;zunehmen;29
long;lang;29
madame ; Frau ;29
maigrir ; abnehmen ;29
marier (se);heiraten;29
notre/nos;unser / unsere;29
occasion;die Gelegenheit;29
quel (adj. int.);welch-;29
robe;das Kleid;29
son;sein / ihr;29
vous (politesse – dat.);Ihnen;29
aimable;freundlich;30
aise (à l’);wohl;30
après-demain;übermorgen;30
avoir l’air;aussehen;30
bien;wohl;30
chaleureux;herzlich;30
colocation;die Wohngemeinschaft;30
communauté;die Gemeinschaft;30
cours (étude);der Unterricht;30
dame;die Dame;30
depuis;seit;30
hier;gestern;30
honoré;geehrt;30
premier;erste;30
salutation;der Gruß;30
sympa;nett;30
sympathique;sympathisch;30
sympa;nett;30
sympathique;sympathisch;30
sympa;nett;30
sympathique;sympathisch;30
violon;die Geige;30
violon (cours de);der Geigenunterricht;30
votre / vos;eu / re;30
vous (tutoiement – dat.);euch;30
cour;der Hof;31
difficile;schwer;31
employer;benutzen;31
enfant;das Kind;31
exemple;das Beispiel;31
exemple (par ~);zum Beispiel;31
gare;der Bahnhof;31
livre;das Buch;31
mère;die Mutter;31
père;der Vater;31
personne (individu);die Person;31
plusieurs;mehrere;31
regarder;schauen;31
seul;allein;31
si (condition);wenn;31
soit… soit…;entweder… oder…;31
stylo;der Stift;31
stylo;der Stift;31
train;die Bahn / der Zug;31
vouvoyer;siezen;31
communiqué;der Bericht;32
de;von;32
de… à…;von… bis;32
été;der Sommer;32
exagérer;übertreiben;32
fois;das Mal;32
fort (adj.);stark;32
humide (temps);nass;32
jusqu’à;bis / bis zu;32
juste (au ~);eigentlich;32
météo (bulletin ~);der Wetterbericht;32
mouillé;nass;32
part (de la ~);von;32
pluie;der Regen;32
pluie (chute de ~);der Regenfall;32
poisse;das Pech;32
poisse (avoir la ~);Pech haben;32
temps (météo);das Wetter;32
acheter;kaufen;33
bière;das Bier;33
championnat;die Meisterschaft;33
championnat d’Europe;die Europameisterschaft;33
championnat du monde;die Weltmeisterschaft;33
commencer;beginnen;33
dépêcher (se ~);sich beeilen;33
durer;dauern;33
Europe;Europa;33
idée;die Idee;33
maman;die Mama / die Mami;33
minute;die Minute;33
monde;die Welt;33
papa;der Papa / der Papi;33
peur;die Angst;33
se (p. réciproque acc.);sich;33
bronzé;braun;34
bronzer;braun werden;34
changer (travail, argent);wechseln;34
Corse;Korsika;34
gagner;gewinnen;34
hôtel;das Hotel;34
job;der Job;34
loterie;die Lotterie;34
marron;braun;34
même;sogar;34
plage;der Strand;34
plage privée;der Privatstrand;34
privé;privat;34
réserver;"buchen ; reservieren";34
salaire;das Gehalt;34
soleil;die Sonne;34
bikini;der Bikini;36
chantilly;die Sahne;36
chocolat;die Schokolade;36
dessert;der Nachtisch;36
encore (une fois);schon wieder;36
gâteau;der Kuchen;36
gâteau au chocolat;der Schokoladenkuchen;36
gâteau aux fruits;der Obstkuchen;36
langues (livre de ~);das Sprachbuch;36
nouveau (de ~);wieder;36
quel genre de;was für ein/e;36
régime;die Diät;36
tarte;die Torte;36
volontiers;gern;36
amoureux (tomber ~ de);sich verlieben in;37
au-dessus de;über;37
autour de;um (+ acc.);37
chez;zu (+ dat.);37
chez (loc.);bei (+ dat.);37
cours (au ~ de);auf;37
ensemble;zusammen;37
esquimau;der Eskimo;37
étranger (pays);das Ausland;37
expliquer;erklären;37
globe-trotteuse;die Globetrotterin;37
né (être ~);geboren sein;37
nous (p. pers. dat.);uns;37
nuage;die Wolke;37
patrie;die Heimat;37
pays;das Land;37
recevoir;"bekommen ; erhalten";37
sur (localisation);an (+ dat./acc.);37
sur (sujet);über (+ acc.);37
sur (localisation);an (+ dat./acc.);37
sur (sujet);über (+ acc.);37
aller (bien);jm gut stehen;38
amie;die Freundin;38
bleu;blau;38
cool;cool;38
court;kurz;38
discuter;streiten;38
goût;der Geschmack;38
jaune;gelb;38
me (p. pers. dat.);mir;38
mode (à la ~);modisch;38
penser;meinen;38
plaire;"gefallen ; Spaß machen";38
pull;der Pulli;38
rouge (adj. qual.);rot;38
vieux jeu;altmodisch;38
achat;der Kauf;39
blanc;das Weiß;39
derrière;hinten;39
devant;vorne;39
enchères;die Auktion;39
fois (deux ~) enchères;zum Zweiten;39
fois (une ~) enchères;zum Ersten;39
là-bas;dort;39
libre;frei;39
lit;das Bett;39
noir;das Schwarz;39
proposer;"bieten ; vor/schlagen";39
revenir;"zurück/kommen ; wieder/kommen";39
vendu;verkauft;39
après (prép.);nach;40
bientôt;bald;40
combien (le ~) date;der Wievielte;40
école;die Schule;40
encore;noch;40
endroit;der Ort;40
État fédéral;das Bundesland;40
idée (n’avoir aucune ~);keine Ahnung haben;40
meilleur(e) (le/la ~);der, die, das beste;40
passer (temps);vergehen;40
pressentiment;die Ahnung;40
savoir (ne pas ~);keine Ahnung haben;40
suivre;folgen;40
suivre;folgen;40
bon (être ~);schmecken;41
de (causal);vor;41
faim;der Hunger;41
fermé (être);zuhaben;41
hamburger;der Burger;41
indien;indisch;41
italien;italienisch;41
livraison;der Lieferservice;41
livrer;liefern;41
mois;der Monat;41
mourir;sterben;41
mourir de faim;vor Hunger sterben;41
ouvert (être ~);aufhaben;41
pizza;die Pizza;41
pratique;praktisch;41
proposition;der Vorschlag;41
reconnaître;zu/geben;41
restauration rapide;das Fast Food;41
service;der Service;41
soif;der Durst;41
accueillir;empfangen;43
après-midi;der Nachmittag;43
Berlinois;der Berliner;43
Berlin-Ouest;Westberlin;43
Berlin-Ouest (habitant);der Westberliner;43
chute;der Fall;43
chute du mur de Berlin;der Mauerfall;43
croire;glauben;43
embrasser;sich umarmen;43
époque (à l’);damals;43
fêter;feiern;43
gens;die Menschen;43
heureux (très);überglücklich;43
honte;die Schande;43
matinée;der Vormittag;43
midi;der Mittag;43
mousseux;der Sekt;43
mur (extérieur);die Mauer;43
ouest;der Westen;43
parti;weg;43
peuple;das Volk;43
soirée;der Abend;43
sud;der Süden;43
sud;der Süden;43
tombé (mur);weg;43
tous les;alle;43
avant;früher;44
avis;die Meinung;44
bon (plat);lecker;44
changer;sich ändern;44
faire (pâtisserie);backen;44
faute (culpabilité);die Schuld;44
feignant;faul;44
jeune (personne);der Jugendliche;44
jeunesse;die Jugend;44
offrir;anbieten;44
ordinateur;der Computer;44
petite-fille;die Enkelin;44
qui (à ~) (p. int. dat.);wem;44
tout;alles;44
ce/cette/ces;dieser/diese/dieses;45
changer;sich verändern;45
danser;tanzen;45
démissionner;kündigen;45
fonder;gründen;45
grand;groß;45
il y a (préposition temps);vor;45
japonais;japanisch;45
raconter;erzählen;45
ravissant;hübsch;45
Rome;Rom;45
tard (plus ~);später;45
tout aussi;(genau) so;45
vie;das Leben;45
altitude;wie hoch;46
argent;das Geld;46
chanter;singen;46
combien de;wie viel;46
dépendre de;ankommen auf;46
encore (une fois);noch;46
géographie;die Erdkunde;46
juste;richtig;46
longueur;wie lang;46
mètre;der Meter;46
Nil (le ~);der Nil;46
quiz;das Quiz;46
réponse;die Antwort;46
seconde;die Sekunde;46
série;die Reihe;46
sorte;die Art;46
supérieur;höher;46
sorte;die Art;46
supérieur;höher;46
tester;testen;46
tour (jeu, endroit);die Runde;46
autrement;anders;47
chef;der Chef;47
continuer;weitergehen;47
écouter;zuhören;47
éteindre;ausmachen;47
lui (à elle);ihr;47
lui (à lui);ihm;47
ponctualité;die Pünktlichkeit;47
quart d’heure;die Viertelstunde;47
quelqu’un;jemand;47
quelqu’un d’autre;jemand anders;47
rendez-vous;der Termin;47
semblable;ähnlich;47
séparé;getrennt;47
belle (la plus ~);die Schönste;48
Blanche-Neige;Schneewittchen;48
celui-ci;dieser;48
conte;das Märchen;48
content;zufrieden;48
grandir;wachsen;48
mamie;die Oma / die Omi;48
même(s) (en personne);selbst;48
miroir;der Spiegel;48
miroir (diminutif);das Spieglein;48
mur (intérieur);die Wand;48
papy;der Opa / der Opi;48
reine;die Königin;48
répondre;antworten;48
vérité;die Wahrheit;48
cause (à ~ de);wegen;49
hauteur;wie hoch;49
pendant;während;49
afin de;um ... zu;50
bien (faire du ~);gut tun;50
clapet;die Klappe;50
contact;der Umgang;50
débloquer;spinnen;50
effet (en ~);nämlich;50
énerver;nerven;50
enseigner;beibringen;50
être (adresse, tel);lauten;50
expression;der Ausdruck;50
fréquentations;der Umgang;50
intituler (s’);lauten;50
jurer;fluchen / schwören;50
langage familier;die Umgangssprache;50
langage parlé;die Umgangssprache;50
langue;die Sprache;50
leçon;die Lektion;50
mal faire;weh tun;50
mot;das Wort;50
nerf;der Nerv;50
nez;die Nase;50
ni… ni…;weder… noch…;50
oui et non;jein;50
partie;der Teil;50
peine (faire de la ~);leid/tun;50
pester;fluchen;50
peu (un ~ de);etwas;50
pièce (élément);das Teil;50
pleuvoir;regnen;50
pour (+ inf.);um … zu;50
progrès;der Fortschritt;50
quel/le/s que soit/soient le/la/les;egal in welch-;50
souffler;pusten;50
souffler;pusten;50
assurance;die Versicherung;51
autorisation;die Genehmigung;51
centre-ville;die Innenstadt;51
Constance (habitant);der Konstanzer;51
contrat;der Vertrag;51
contrat d’assurance vie;der Lebensversicherungsvertrag;51
début;der Anfang;51
discipline;die Disziplin;51
fiabilité;die Zuverlässigkeit;51
gens;die Leute;51
intéressant;interessant;51
interroger;befragen;51
marché;der Markt;51
Munich;München;51
obstination;die Sturheit;51
parole;das Wort;51
permis de séjour;die Aufenthaltsgenehmigung;51
place du marché;der Marktplatz;51
prononcer;aus/sprechen;51
propreté;die Sauberkeit;51
séjour;der Aufenthalt;51
suisse (adj.);schweizerisch;51
Suisse (pays);die Schweiz;51
suisse (adj.);schweizerisch;51
Suisse (pays);die Schweiz;51
trouver (se);sich befinden;51
typique(ment);typisch;51
vin;der Wein;51
arbre;der Baum;52
arrière-petite-fille;die Urenkelin;52
arrière-petit-fils;der Urenkel;52
arrière-petits-enfants;das Urenkelkind;52
asseoir (s’);sich setzen;52
assis (être);sitzen;52
cerisier;der Kirschbaum;52
chaussette;der Strumpf;52
cœur;das Herz;52
côté (à ~ de);neben;52
entre;zwischen;52
être (droit/debout);stehen;52
joie;die Freude;52
mettre (se ~) (droit/debout);sich stellen;52
paire;das Paar;52
particulier;besondere;52
particulier (adv.);besonders;52
petit (n.);der/die/das Kleine;52
petit-fils;der Enkel;52
petits-enfants;das Enkelkind;52
photo;"das Foto ; das Bild";52
posé (être ~) (droit / debout);stehen;52
quelques;"ein paar ; einige";52
réuni (adv.);beisammen;52
trinquer;anstoßen;52
accroché (être);hängen;53
agréable;angenehm;53
aimer;lieben;53
bref;kurzum;53
briller;scheinen;53
couleur;die Farbe;53
fait (au ~);übrigens;53
fleur;die Blume;53
fois (première ~);zum ersten Mal;53
magnifique ; wunderschön ;53
mieux (le/de ~);am besten;53
paraître;scheinen;53
personne (p. ind.);niemand;53
photographe;der Fotograf;53
poisson;der Fisch;53
presque;fast;53
sembler;scheinen;53
souris;die Maus;53
souris;die Maus;53
vernissage;die Vernissage;53
aimer (+ v. inf.);gern;54
Allemagne;Deutschland;54
allemand (non-~);der Nichtdeutsche;54
Américain;der Amerikaner;54
attirer;anlocken;54
bière (fête de la ~);das Oktoberfest;54
blonde (bière);ein Helles;54
brasserie;das Brauhaus;54
Britannique;der Brite;54
brune (bière);ein Dunkles;54
chaque;jeder/jede/jedes;54
commander;bestellen;54
différent;verschieden;54
fête;das Fest;54
finir;enden;54
Français;der Franzose;54
Japonais;der Japaner;54
panaché;der Radler;54
prairie;die Wiese;54
préférer (+ v. inf.);v. inf. + lieber;54
touriste;der Tourist;54
variété;die Vielfalt;54
à;an (acc. ou dat.);55
allongé (être);liegen;55
appartenir à;gehören;55
bondé;überfüllt;55
bord (au ~ de);an;55
bouché;verstopft;55
but;das Ziel;55
chérie;der Liebling;55
couché (être ~);liegen;55
destination;das Ziel;55
directement;direkt;55
Internet;das Internet;55
louer (donner en location);vermieten;55
louer (prendre en location);mieten;55
maison (dir.);nach Hause;55
maison (loc.);zu Hause;55
maison de vacances;das Ferienhaus;55
objectif;das Ziel;55
ouvert;offen;55
partie (faire ~ de);gehören zu;55
pas encore;noch nicht;55
passer (vacances);verbringen;55
porte;die Tür;55
posé (être ~) (à plat / à l’horizontale);liegen;55
région;die Gegend;55
salle de bains;das Bad;55
sous-sol;der Keller;55
sous-sol;der Keller;55
télécharger;herunterladen;55
télévision;das Fernsehen;55
voir (à);sehenswert;55
derrière;hinter;56
appétit;der Appetit;57
après (adv.);nachher;57
boisson;das Getränk;57
bouche;der Mund;57
café (établissement);das Kaffeehaus;57
car;denn;57
chat;die Katze;57
chien;der Hund;57
connu;bekannt;57
cou;der Hals;57
courir;laufen;57
désirer;wünschen;57
emmener;ausführen;57
ensuite;nachher;57
escalope;das Schnitzel;57
fois (deux ~);zweimal;57
grenouille;der Frosch;57
loup;der Wolf;57
moins (du ~);zumindest;57
original;original;57
ours;der Bär;57
plaisir;das Vergnügen;57
pommes frites;die Pommes Frites;57
Sachertorte;die Sachertorte;57
serveur;der Kellner;57
servir;bedienen;57
souhait;der Wunsch;57
souhaiter;wünschen;57
souhait;der Wunsch;57
souhaiter;wünschen;57
tasse;die Tasse;57
traditionnel;traditionell;57
viennois;Wiener;57
vin rouge;der Rotwein;57
vivre;leben;57
aimer;mögen;58
apparition;die Erscheinung;58
coiffure;die Frisur;58
dent;der Zahn;58
dos;der Rücken;58
dos (mal au ~);die Rückenschmerzen;58
douleur;der Schmerz;58
espérer;hoffen;58
fantastique;fantastisch;58
flatteur;schmeichelhaft;58
gris;das Grau;58
mal (avoir ~);Schmerzen haben;58
manteau;der Mantel;58
même chose;das Gleiche;58
nécessaire;notwendig / nötig;58
oreille;das Ohr;58
parce que;weil;58
tête;der Kopf;58
ventre;der Bauch;58
bien sûr;natürlich;59
déborder;überkochen;59
dépasser;überholen;59
doubler (véhicule);überholen;59
épeler;buchstabieren;59
étonner;überraschen;59
hasard;der Zufall;59
lettre (de l’alphabet);der Buchstabe;59
majuscule;großes A, B…;59
minuscule (a, b...);kleines (a, b...);59
pensée (idée);der Gedanke;59
réfléchir;"überlegen ; nach/denken";59
réservation;die Reservierung;59
réserver une table;die Tischreservierung;59
surprendre;überraschen;59
surprendre;überraschen;59
surprendre;überraschen;59
traduire;übersetzen;59
aéroport;der Flughafen;60
arrêter (s’);anhalten;60
bébé;das Baby;60
chéri;der Schatz;60
côté;die Seite;60
croisement;die Kreuzung;60
demander (chemin, heure);fragen;60
énervement;die Aufregung;60
examen;das Examen;60
félicitation;die Glückwünsche;60
feu tricolore;die Ampel;60
garçon;der Junge;60
heure (horaires);die Uhrzeit;60
hôpital;das Krankenhaus;60
malade (n.);der Kranke;60
marcher (vite);laufen;60
perdre (se ~);sich verlaufen;60
policier;der Polizist;60
port (bateau);der Hafen;60
soigner;pflegen;60
taxi;das Taxi;60
tourner (à droite / gauche);rechts / links abbiegen;60
trésor;der Schatz;60
tromper de chemin (se);sich verlaufen;60
tromper de route (se);sich verfahren;60
vol (avion);der Flug;60
amour;die Liebe;61
apparemment;anscheinend;61
architecte;der Architekt;61
bois;das Holz;61
casser;knacken;61
charmant;charmant;61
connaître (faire connaissance);kennenlernen;61
craquer;knacken;61
fête;die Fete;61
jackpot;der Jackpot;61
noisette;die Haselnuss;61
noix;die Walnuss;61
panorama;das Panorama;61
pied;der Fuß;61
président;der Präsident;61
qui (à/de ~);wessen;61
rappeler (se remémorer);sich an jn/etwas erinnern an;61
regard;der Blick;61
riche;reich;61
signe;das Zeichen;61
souvenir;die Erinnerung;61
souvenir (se ~);sich erinnern;61
souvenir;die Erinnerung;61
souvenir (se ~);sich erinnern;61
toit;das Dach;61
toit panoramique;das Panoramadach;61
vert;grün;61
aborder;ansprechen;62
absolument;gar;62
ici (par ~);her;62
jamais;nie(mals);62
marguerite;die Margerite;62
œillet;die Nelke;62
oser;sich trauen;62
perce-neige;das Schneeglöckchen;62
pissenlit;der Löwenzahn;62
quoi (prép.);wo(r)- (+ prép.);62
risquer;wagen;62
rose;die Rose;62
tulipe;die Tulpe;62
y;hin;62
automate;der Automat;64
blog;das Blog;64
canicule;die Hitze;64
chaleur;die Hitze;64
chaud (très ~);heiß;64
cola;die Cola;64
compréhensif;verständnisvoll;64
compréhension;das Verständnis;64
congé canicule;Hitzefrei;64
d’abord;zuerst;64
degré;das Grad;64
direction (entreprise);das Management;64
distributeur automatique;der Bankautomat;64
droit;das Recht;64
e-mail;die E-Mail;64
informations;die Nachrichten;64
instant (à l’);eben / gerade;64
insupportable;unerträglich;64
